,Dep_Airport,Dep_City,Dest_Airport,Dest_City,utc_departure,utc_arrival,return_utc_departure,return_utc_arrival,nights_in_dest,fare_category,price_PLN,airline_id,distance_km
66,WRO,Wrocław,BCN,Barcelona,2024-04-03 04:10:00,2024-04-03 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,12,M,1378,W6,1573.49
67,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,14,M,674,W6,1573.49
68,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-12 07:30:00,2024-04-12 10:15:00,7,M,692,W6,1573.49
69,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-10 07:30:00,2024-04-10 10:15:00,5,M,692,W6,1573.49
70,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-08 07:35:00,2024-04-08 10:20:00,3,M,821,W6,1573.49
71,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,12,M,1014,W6,1573.49
72,WRO,Wrocław,BCN,Barcelona,2024-04-05 04:10:00,2024-04-05 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,10,M,1488,W6,1573.49
73,WRO,Wrocław,AGP,Málaga,2024-04-06 03:00:00,2024-04-06 06:50:00,2024-04-09 08:40:00,2024-04-09 12:20:00,3,M,508,W6,2333.99
74,WRO,Wrocław,AGP,Málaga,2024-04-06 03:00:00,2024-04-06 06:50:00,2024-04-16 08:40:00,2024-04-16 12:20:00,10,M,594,W6,2333.99
75,WRO,Wrocław,AGP,Málaga,2024-04-06 03:00:00,2024-04-06 06:50:00,2024-04-20 07:35:00,2024-04-20 11:15:00,14,M,637,W6,2333.99
76,WRO,Wrocław,AGP,Málaga,2024-04-06 03:00:00,2024-04-06 06:50:00,2024-04-13 07:35:00,2024-04-13 11:15:00,7,M,637,W6,2333.99
77,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,11,M,454,W6,1573.49
78,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-10 07:30:00,2024-04-10 10:15:00,2,M,472,W6,1573.49
79,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-12 07:30:00,2024-04-12 10:15:00,4,M,472,W6,1573.49
80,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,9,M,794,W6,1573.49
81,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,14,M,988,W6,1573.49
82,WRO,Wrocław,BCN,Barcelona,2024-04-08 04:10:00,2024-04-08 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,7,M,1268,W6,1573.49
83,WRO,Wrocław,AGP,Málaga,2024-04-09 04:05:00,2024-04-09 07:55:00,2024-04-23 08:40:00,2024-04-23 12:20:00,14,M,601,W6,2333.99
84,WRO,Wrocław,AGP,Málaga,2024-04-09 04:05:00,2024-04-09 07:55:00,2024-04-16 08:40:00,2024-04-16 12:20:00,7,M,644,W6,2333.99
85,WRO,Wrocław,AGP,Málaga,2024-04-09 04:05:00,2024-04-09 07:55:00,2024-04-20 07:35:00,2024-04-20 11:15:00,11,M,687,W6,2333.99
86,WRO,Wrocław,AGP,Málaga,2024-04-09 04:05:00,2024-04-09 07:55:00,2024-04-13 07:35:00,2024-04-13 11:15:00,4,M,687,W6,2333.99
87,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,9,M,474,W6,1573.49
88,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-12 07:30:00,2024-04-12 10:15:00,2,M,492,W6,1573.49
89,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,14,M,535,W6,1573.49
90,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,7,M,814,W6,1573.49
91,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,12,M,1008,W6,1573.49
92,WRO,Wrocław,BCN,Barcelona,2024-04-10 04:10:00,2024-04-10 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,5,M,1288,W6,1573.49
93,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,7,M,764,W6,1573.49
94,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,12,M,825,W6,1573.49
95,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,14,M,825,W6,1573.49
96,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,5,M,1104,W6,1573.49
97,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,10,M,1298,W6,1573.49
98,WRO,Wrocław,BCN,Barcelona,2024-04-12 04:10:00,2024-04-12 06:50:00,2024-04-15 07:35:00,2024-04-15 10:20:00,3,M,1578,W6,1573.49
99,WRO,Wrocław,AGP,Málaga,2024-04-13 03:00:00,2024-04-13 06:50:00,2024-04-23 08:40:00,2024-04-23 12:20:00,10,M,531,W6,2333.99
100,WRO,Wrocław,AGP,Málaga,2024-04-13 03:00:00,2024-04-13 06:50:00,2024-04-16 08:40:00,2024-04-16 12:20:00,3,M,574,W6,2333.99
101,WRO,Wrocław,AGP,Málaga,2024-04-13 03:00:00,2024-04-13 06:50:00,2024-04-27 07:35:00,2024-04-27 11:15:00,14,M,574,W6,2333.99
102,WRO,Wrocław,AGP,Málaga,2024-04-13 03:00:00,2024-04-13 06:50:00,2024-04-20 07:35:00,2024-04-20 11:15:00,7,M,617,W6,2333.99
103,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,4,M,874,W6,1573.49
104,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,11,M,935,W6,1573.49
105,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,9,M,935,W6,1573.49
106,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,14,M,1107,W6,1573.49
107,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-17 07:30:00,2024-04-17 10:15:00,2,M,1214,W6,1573.49
108,WRO,Wrocław,BCN,Barcelona,2024-04-15 04:10:00,2024-04-15 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,7,M,1408,W6,1573.49
109,WRO,Wrocław,AGP,Málaga,2024-04-16 04:05:00,2024-04-16 07:55:00,2024-04-23 08:40:00,2024-04-23 12:20:00,7,M,461,W6,2333.99
110,WRO,Wrocław,AGP,Málaga,2024-04-16 04:05:00,2024-04-16 07:55:00,2024-04-27 07:35:00,2024-04-27 11:15:00,11,M,504,W6,2333.99
111,WRO,Wrocław,AGP,Málaga,2024-04-16 04:05:00,2024-04-16 07:55:00,2024-04-20 07:35:00,2024-04-20 11:15:00,4,M,547,W6,2333.99
112,WRO,Wrocław,AGP,Málaga,2024-04-16 04:05:00,2024-04-16 07:55:00,2024-04-30 08:40:00,2024-04-30 12:20:00,14,M,590,W6,2333.99
113,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-04-19 07:30:00,2024-04-19 10:15:00,2,M,474,W6,1573.49
114,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,9,M,535,W6,1573.49
115,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,7,M,535,W6,1573.49
116,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-05-01 07:30:00,2024-05-01 10:15:00,14,M,664,W6,1573.49
117,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,12,M,707,W6,1573.49
